date,time,people,building,floor,weight (kg),num_contam,plastic,metal,glass,Other,NOTES,POSTER,SIGNAGE,item_per_kilo
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,10,0.55,1,1,0,0,,,,,1.818181818
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,9,0.2,1,1,0,0,,,,,5
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,8,0.5,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,7,0.2,1,1,0,0,,,,,5
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,6,0.1,1,1,0,0,,,,,10
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,5,0.3,2,2,0,0,,,,,6.666666667
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,4,0.2,0,0,0,0,,,,,0
March 19,5:00-6:30pm ,Brenda & Ece ,Bartlett,3,1.1,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,19,1.8,3,3,0,0,,,,,1.666666667
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,18,1,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,17,1.1,1,1,0,0,,,,,0.9090909091
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,16,0.7,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,15,0.55,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,14,1.2,2,2,0,0,,,,,1.666666667
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,13,0.5,0,0,0,0,,,,,0
